"LEGAL_NAME","ACCOUNT_TYPE_CODE","ACCOUNT_TYPE","PHYSICAL_ADDRESS_STATE","Physical_Address_ZIP_Code1"
"OF BATON ROUGE INC","1710","Finance Lending","LA","70802"
"T M WORTHY  R J / J T TOOMER","1710","Finance Lending","LA","70805"
"JAMES A CARTER JR","2710","Contractor","LA","70815"
"ICI BUILDING SERVICES","2710","Contractor","LA","70814"
"COBB CORPORATION CORPORATION","1520","Service/Rental/Etc","LA","70802"
"IMPERIAL CREDIT  INC","1710","Finance Lending","LA","70806"
"SOUTHERN CRAFTS  INC","1610","Wholesale Dealer","LA","70816"
"COOK AND COOK  INC","1520","Service/Rental/Etc","LA","70815"
"DALE MATHEWS-PRES","1820","Commissioned Services","LA","70809"
"RANDALL DAVIS","1822","Real Estate Broker","LA","70815"
"WELLS FARGO FINANCIAL LA INC","1710","Finance Lending","LA","70816"
"DICK BRIEN REAL ESTATE INC","1822","Real Estate Broker","LA","70816"
"J T DOIRON INC REALTOR","1822","Real Estate Broker","LA","70806"
"DAVID BIBEN","1610","Wholesale Dealer","LA","70814"
"SAM W BERGERON JR","1822","Real Estate Broker","LA","70806"
"TELE SEC INC","2710","Contractor","LA","70806"
"JOHN ALLPHIN","1820","Commissioned Services","LA","70806"
"ROADRUNNER TOWING & RECOVERY INC","1520","Service/Rental/Etc","LA","70807"
"ANN M FEIBER","1520","Service/Rental/Etc","LA","70806"
"ROBERT GRAHAM","2710","Contractor","LA","70814"
"GUILLAUME CONST & MAINT INC","2710","Contractor","LA","70816"
"DONNA HINSON REAL ESTATE INC","1822","Real Estate Broker","LA","70815"
"B L BEEBE JR","1520","Service/Rental/Etc","LA","70814"
"CHARLES BOUQUET","1520","Service/Rental/Etc","LA","70811"
"L E HURRELBRINK - PRES","1520","Service/Rental/Etc","LA","70816"
"DENNIS K HARRIS GEN MGR","1520","Service/Rental/Etc","LA","70816"
"J D DAVID JR","1822","Real Estate Broker","LA","70806"
"SOUTHERN WASHATERIA  INC","1520","Service/Rental/Etc","LA","70802"
"JOHN B KELLER","1525","Retail Dealer","LA","70802"
"PURVIS CREDIT INC","1710","Finance Lending","LA","70806"
"TOM LOFTON","2710","Contractor","LA","70806"
"CHARLES SPEARS","2710","Contractor","LA","70802"
"JOHN C DOIRON","1520","Service/Rental/Etc","LA","70806"
"TRI STATE RD BORING INC","2710","Contractor","LA","70808"
"GERALD PEARSON","1522","Travel Agency","LA","70809"
"C W HUMPHREYS-PRES","2710","Contractor","LA","70816"
"RELIABLE CREDIT LLC","1710","Finance Lending","LA","70806"
"STERLING VOLTAIRE","1822","Real Estate Broker","LA","70808"
"RISDON S WOOD","1822","Real Estate Broker","LA","70791"
"YVONNE SANFORD","1822","Real Estate Broker","LA","70809"
"MICHELLI ELECTRIC CO INC","2710","Contractor","LA","70808"
"LOWERY ENTERPRISES OF THE SOUT","1822","Real Estate Broker","LA","70805"
"JOHNNY PEROT  COLLIS HERRING C","1710","Finance Lending","LA","70806"
"MIKE COHN","1520","Service/Rental/Etc","LA","70817"
"LEE OSCAR COHN","1520","Service/Rental/Etc","LA","70802"
"HOMER KNOST PRES","1820","Commissioned Services","LA","70806"
"JESSIE M PURVIS","1710","Finance Lending","LA","70806"
"PRINCE HALL GRAND LODGE F/AM","1520","Service/Rental/Etc","LA","70802"
"QUALITY FINANCE INC","1710","Finance Lending","LA","70806"
"FRANK D D'GEROLAMO","2710","Contractor","LA","70810"
"WILSON WAREHOUSE CO INC","1520","Service/Rental/Etc","LA","70802"
"ROY & MARY WITTY","1520","Service/Rental/Etc","LA","70805"
"LEWIS MOHR REAL ESTATE & INSUR","1822","Real Estate Broker","LA","70816"
"COLLIS HERRING","1710","Finance Lending","LA","70806"
"MRS JOHN BATEMAN","1820","Commissioned Services","LA","70806"
"W J VINING","2710","Contractor","LA","70814"
"RAYMOND A FALCON  PRES","2710","Contractor","LA","70805"
"D/768TAX B2121A","1520","Service/Rental/Etc","LA","70809"
"P M YGLESIAS","2710","Contractor","LA","70814"
"COOPER CREDIT CORP INC","1710","Finance Lending","LA","70806"
"JOHN T & MELVIN TURNER","2710","Contractor","LA","70802"
"TERMINAL TRANSFER & STORAGE INC","1520","Service/Rental/Etc","LA","70802"
"NORTH BLVD HOME BUILDERS  INC","1822","Real Estate Broker","LA","70816"
"JESSIE M PURVIS","1710","Finance Lending","LA","70806"
"LEBLANC CONSTRUCTION CO  INC","2710","Contractor","LA","70806"
"RANDALL W COOK","1520","Service/Rental/Etc","LA","70815"
"NELL DOUCET","1520","Service/Rental/Etc","LA","70806"
"EXPRESS COURIERS LLC","1520","Service/Rental/Etc","LA","70809"
"GENUINE PARTS COMPANY","1610","Wholesale Dealer","LA","70815"
"BLAISE J CALANDRO  JR","2710","Contractor","LA","70806"
"HAYES TREE SERVICE LLC","2710","Contractor","LA","70802"
"SAM HAYNES  JR","1520","Service/Rental/Etc","LA","70802"
"JOHN ROBERT YORK","1610","Wholesale Dealer","LA","70809"
"SOUTHEASTERN SECURITIES  INC","1710","Finance Lending","LA","70806"
"HARVEY HONORE CONSTRUCTION COMPANY LLC","2710","Contractor","LA","70820"
"PAUL QUINN  PRES","2710","Contractor","LA","70805"
"EDWARD W PENEGUY JR","1820","Commissioned Services","LA","70815"
"PAUL W ALEXANDER","1710","Finance Lending","LA","70806"
"LOUISIANA WHOLESALE FLORIST  INC","1610","Wholesale Dealer","LA","70809"
"JOE SAMPERE","1822","Real Estate Broker","LA","70808"
"RICHARD HAWKINS  JR","1822","Real Estate Broker","LA","70810"
"DOUGLAS A PRITCHARD","1520","Service/Rental/Etc","LA","70809"
"JOHN A MANDA JR","1820","Commissioned Services","LA","70821"
"BENJAMIN JONES","1822","Real Estate Broker","LA","70806"
"BRYAN J GUILLOT","1520","Service/Rental/Etc","LA","70806"
"MACK B JOHNSON","1822","Real Estate Broker","LA","70802"
"D&G ELECTRIC INC","2710","Contractor","LA","70815"
"NICHOLAS BLANC  JR","2710","Contractor","LA","70806"
"ALEX AMBEAU JR","1520","Service/Rental/Etc","LA","70809"
"SOUTHERN OAKS TITLE  LLC","1520","Service/Rental/Etc","LA","70809"
"ALEXANDER J EVANS","2710","Contractor","LA","70806"
"FINANCE INVESTMENT OF BATON RO","1710","Finance Lending","LA","70805"
"BOB BROUSSARD INC","2710","Contractor","LA","70816"
"JOHN H FETZER","1822","Real Estate Broker","LA","70809"
"UNION CREDIT CORPORATION OF LA","1710","Finance Lending","LA","70806"
"DOUG SALMON","1822","Real Estate Broker","LA","70809"
"BOOKER KNIGHTEN JR (PRES)","2710","Contractor","LA","70807"
"MICHAEL L  WEISER","1520","Service/Rental/Etc","LA","70808"
"AMERICAN-INTERNATIONAL TRAVEL INC","1522","Travel Agency","LA","70815"
"J D MCCONNEL","9999","No Occupational License","LA","70714"
"BEN D JOHNSON","1610","Wholesale Dealer","LA","70811"
"MRS DAVID A SPRING","1610","Wholesale Dealer","LA","70810"
"WALTER R BANKSTON","1822","Real Estate Broker","LA","70805"
"JOSEPH S COLLINS","1822","Real Estate Broker","LA","70805"
"AMERICAN GENERAL FINANCIAL SER","1710","Finance Lending","LA","70806"
"THE LOFTON CORPORATION","1520","Service/Rental/Etc","LA","70809"
"IVERSON & MARTHA JARRELL","1822","Real Estate Broker","LA","70811"
"HUEY TORTORICE","1525","Retail Dealer","LA","70805"
"PHILLIP C MOSER","2710","Contractor","LA","70816"
"DIANE ALLEN","1520","Service/Rental/Etc","LA","70806"
"MALCOLM B PRICE JR","1822","Real Estate Broker","LA","70808"
"KENRON RITCHIE","1710","Finance Lending","LA","70806"
"CARL BAZILLE","2710","Contractor","LA","70714"
"REED A/C AND HEATING INC","1520","Service/Rental/Etc","LA","70814"
"DUNBAR MERCEDES","1520","Service/Rental/Etc","LA","70810"
"ROBERT BROWN","1610","Wholesale Dealer","LA","70769"
"SALES  INC","1822","Real Estate Broker","LA","70808"
"MALCOLM TRAVEL AGENCY INC","1522","Travel Agency","LA","70806"
"HALL ENTERPRISES INC","1822","Real Estate Broker","LA","70805"
"ADVANCED PERSONNEL  INC","1520","Service/Rental/Etc","LA","70809"
"BRUCE THOMAS","1520","Service/Rental/Etc","LA","70806"
"VINSON GUARD SERVICE  INC","1520","Service/Rental/Etc","LA","70816"
"JACOBS ENGINEERING GROUP  INC","2710","Contractor","LA","70809"
"LESLIE MCCOY","1520","Service/Rental/Etc","LA","70807"
"TONY LORENA","2640","Retail Autos & Boats","LA","70805"
"MYRT TUGWELL","1610","Wholesale Dealer","LA","70814"
"FRANK CULOTTA CONTRACTOR INC","2710","Contractor","LA","70802"
"WILLIAM O GORDON","2710","Contractor","LA","70809"
"JERRY L PAYNE","2710","Contractor","LA","70805"
"B & D ELECTRIC INC","2710","Contractor","LA","70816"
"LESLIE R BRATTON","2710","Contractor","LA","70808"
"DUB JOHNSON PAVING CONTRACTOR","2710","Contractor","LA","70817"
"JESSIE DUCOTE","2710","Contractor","LA","70814"
"JIM WALTER HOMES INC","2710","Contractor","LA","70815"
"B & D PLUMBING CO INC","2710","Contractor","LA","70816"
"RED STICK PIZZA LLC","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70802"
"RICHARD C MENZIE","1822","Real Estate Broker","LA","70816"
"SAYBOLT INC","2710","Contractor","LA","70809"
"CORKERN PLUMBING CO INC","2710","Contractor","LA","70814"
"ALFRED SHELMIRE","1520","Service/Rental/Etc","LA","70807"
"PAT S BROWN CLAIM SERVICE INC","1520","Service/Rental/Etc","LA","70809"
"P AND S CONTRACTORS INC","2710","Contractor","LA","70815"
"INSPECTORATE INSPECTION & CONTROL INC","2710","Contractor","LA","70814"
"BATON ROUGE SCRAP METAL CO INC","1610","Wholesale Dealer","LA","70807"
"LEON C WILSON SR","1520","Service/Rental/Etc","LA","70811"
"J C MICHELLI","2640","Retail Autos & Boats","LA","70819"
"DR C T RABY","1525","Retail Dealer","LA","70811"
"ROBERT WOOSLEY","2710","Contractor","LA","70805"
"PINROD INC","1610","Wholesale Dealer","LA","70815"
"ROOSEVELT DUNN","1520","Service/Rental/Etc","LA","70806"
"CABALLERO E G & FRANK TRAINA","1520","Service/Rental/Etc","LA","70805"
"WARREN F ROBERTS JR","2710","Contractor","LA","70806"
"MARVIN R PATTERSON PRES","1710","Finance Lending","LA","70806"
"ALVIN G ROTENBERG-PRES","1610","Wholesale Dealer","LA","70809"
"RICHARD HOUSTON","1520","Service/Rental/Etc","LA","70815"
"CREDIT PLAN OF BATROUGE INC","1710","Finance Lending","LA","70806"
"INDUSTRIAL ELECTRONIC SUPPLY","1610","Wholesale Dealer","LA","70805"
"DIAMOND ELECTRICAL CO INC","2710","Contractor","LA","70817"
"GENE SCOTT","2710","Contractor","LA","70815"
"KATHRYN JENKINS MANADIER","1822","Real Estate Broker","LA","70811"
"DUNAWAY REALTY CO INC","1822","Real Estate Broker","LA","70809"
"WILLIE LEE BELL JR","1520","Service/Rental/Etc","LA","70806"
"GULF SOUTH TRAVEL INC","1522","Travel Agency","LA","70816"
"CLIFTON PATIN","1520","Service/Rental/Etc","LA","70805"
"DONALD G GUIDRY","2710","Contractor","LA","70815"
"J D FORBUS","1710","Finance Lending","LA","70806"
"ROBERT B AGEE JR","2710","Contractor","LA","70806"
"CHARLES E JORDAN","1520","Service/Rental/Etc","LA","70791"
"DEE & DEE  INC","1520","Service/Rental/Etc","LA","70817"
"BERNHARD BROS MECHANICAL CONT","2710","Contractor","LA","70817"
"CARL JAMES FONTENOT","1520","Service/Rental/Etc","LA","70810"
"JESSE L TURNER","2710","Contractor","LA","70739"
"TERRY A TEMPLET","2710","Contractor","LA","70774"
"STEVE ANDERSON CONSTRUCTION LLC","2710","Contractor","LA","70816"
"A HOLDEN EST NETTIE HOLDEN ADM","1520","Service/Rental/Etc","LA","70737"
"SAMMY CONIGLIO","2640","Retail Autos & Boats","LA","70815"
"RICHARD STORY","1520","Service/Rental/Etc","LA","70817"
"JOHN S RHOSTO","2710","Contractor","LA","70714"
"CALVIN & JOHN BLOUNT","2710","Contractor","LA","70809"
"HYDRO-TEMP INC","1610","Wholesale Dealer","LA","70809"
"GREG BIBBY","1520","Service/Rental/Etc","LA","70805"
"CLARENCE LEGIER","1520","Service/Rental/Etc","LA","70811"
"JOSEPH S TERRITO","1610","Wholesale Dealer","LA","70810"
"BEARD INTERNATIONAL  INC","2710","Contractor","LA","70816"
"RICHARD BIENVENUE","1525","Retail Dealer","LA","70809"
"TOTAL ELECTRIC SERINCE","2710","Contractor","LA","70817"
"JOHN H BORNE","2710","Contractor","LA","70816"
"CHRISTINE M RICHARDSON","1520","Service/Rental/Etc","LA","70817"
"ACE ENTERPRISES  INC","1520","Service/Rental/Etc","LA","70817"
"CENTRAL ERECTORS INC","2710","Contractor","LA","70739"
"MICHAEL K  DILWORTH","2710","Contractor","LA","70810"
"GEORGE TEMPLE","1520","Service/Rental/Etc","LA","70805"
"N G  MONGET","2710","Contractor","LA","70810"
"JAMES HERNANDEZ","1520","Service/Rental/Etc","LA","70816"
"PHEBUS N HOTARD","1822","Real Estate Broker","LA","70816"
"ABS HEATING & AIR INC","2710","Contractor","LA","70806"
"ROBERT SANDERS","2710","Contractor","LA","70817"
"DELMAR SCHMIDT","1820","Commissioned Services","LA","70817"
"JAMES RAWLINS","2710","Contractor","LA","70817"
"LONG LAW FIRM","2090","Professional","LA","70809"
"LBP CONSTRUCTION INC","2710","Contractor","LA","70814"
"JOHN O BROWN LTD","2090","Professional","LA","70714"
"RONNY J CHAMPLIN","2090","Professional","LA","70816"
"KI YOON TAE KWON DO ACADEMY","1520","Service/Rental/Etc","LA","70816"
"C J PORTA JR","2090","Professional","LA","70810"
"CHRIS D MATCHETT","2090","Professional","LA","70809"
"GREAT FAMILY HAIRCUTS","1520","Service/Rental/Etc","LA","70810"
"MICHAEL GOFF","2090","Professional","LA","70809"
"ABILITIES FOR SPEECH & LANGUAGE","2090","Professional","LA","70809"
"MAYEAUX ENGINEERING INC","2090","Professional","LA","70809"
"MICHAEL WHEELER","2090","Professional","LA","70806"
"GRACE & HEBERT ARCHITECTS  INC","2090","Professional","LA","70802"
"GREENWELL MEDICAL CLINIC","2090","Professional","LA","70814"
"W A LAWRENCE DRAFTING SERICE  INC","2090","Professional","LA","70810"
"SOUTHLAND INDUSTRIAL CONSULTANT","2090","Professional","LA","70816"
"DONALD G HOPPE","2090","Professional","LA","70808"
"JEFFIE JEAN STUDIO","1520","Service/Rental/Etc","LA","70816"
"WILLIAM CLARK","2090","Professional","LA","70810"
"CAREY JACKSON","2090","Professional","LA","70809"
"HAWTHORN WAYMOUTH & CARROLL","2090","Professional","LA","70809"
"NEIL FERRARI","2090","Professional","LA","70819"
"MICHAEL LEE","2090","Professional","LA","70816"
"KIDS COVE DAYCARE & LEARNING CENTER LLC","1520","Service/Rental/Etc","LA","70816"
"ANN PETTISS","2090","Professional","LA","70809"
"TYRONE GIROD","2090","Professional","LA","70816"
"CECIL W LOVELL","2090","Professional","LA","70810"
"STRAIN DENNIS & BATES LLP","2090","Professional","LA","70802"
"EVANS GRAVES ENGINEERS","2090","Professional","LA","70809"
"AL JONES","2090","Professional","LA","70809"
"T C VARNADO","2710","Contractor","LA","70815"
"T C VARNADO","2090","Professional","LA","70810"
"COUNTRY MANOR DAY SCHOOL","1520","Service/Rental/Etc","LA","70809"
"COUNTRY MANOR DAY SCHOOL","1520","Service/Rental/Etc","LA","70816"
"KEANS THE CLEANER","1520","Service/Rental/Etc","LA","70816"
"PERRY KIRBY","2090","Professional","LA","70809"
"GENE THOMPSON","2090","Professional","LA","70714"
"EDUCATIONAL MANAGESERVICE INC","1520","Service/Rental/Etc","LA","70806"
"FINANCIAL CONSULTING SERVICE","1520","Service/Rental/Etc","LA","70802"
"CURTIS VINCENT","2090","Professional","LA","70806"
"GENE R CORMIER","2090","Professional","LA","70816"
"MARGARET HEFFRON CPA","2090","Professional","LA","70806"
"COASTAL AIR BALANCE INC","2710","Contractor","LA","70810"
"THAYER BOREL & TED SOILEAU","2090","Professional","LA","70810"
"BEARD ENGINEERING INC","2090","Professional","LA","70816"
"ROBERT SCHMIDT & LESLIE B MACDANEL","1520","Service/Rental/Etc","LA","70808"
"QUATERNARY  RESOURCE INVESTIGATIVE INC","2090","Professional","LA","70819"
"KINDER CARE LEARNING CENTERS LLC  #1007","1520","Service/Rental/Etc","LA","70816"
"FRANK B WOLFSHEIMER","2090","Professional","LA","70808"
"PHYLLIS  GUY","1520","Service/Rental/Etc","LA","70726"
"LAWRENCE DODD","2090","Professional","LA","70810"
"C JOHN NAQUIN JR","2090","Professional","LA","70809"
"RUSSELL WASHER & ASSOC","2090","Professional","LA","70810"
"MARIAN E WOOD","2090","Professional","LA","70816"
"AUB A WARD","2090","Professional","LA","70809"
"JAMES O ERVIN","2090","Professional","LA","70806"
"SCHAEFER RIECKE","1520","Service/Rental/Etc","LA","70817"
"JULIETTE GOODEN","1520","Service/Rental/Etc","LA","70816"
"HYDRO CONSULTANTS INC","2090","Professional","LA","70810"
"SJB GROUP INCORPORATED","2090","Professional","LA","70810"
"KENNETH BROWNING","2710","Contractor","LA","70726"
"MURELLE  HARRISON","2090","Professional","LA","70811"
"GEORGE W  TURNER","1520","Service/Rental/Etc","LA","70816"
"GAYLE GUILLORY","1822","Real Estate Broker","LA","70462"
"JERRY F PEPPER/ATTY AT LAW","2090","Professional","LA","70816"
"PAUL K TALBOT","1520","Service/Rental/Etc","LA","70816"
"DEE J ADAMS","2090","Professional","LA","70802"
"DAVID HOFFMAN","1520","Service/Rental/Etc","LA","70808"
"MICHAEL FRANKLIN","2710","Contractor","LA","70812"
"JOHNNIE  MITCHELL","2710","Contractor","LA","70810"
"JOHN W PORTWOOD JR","2090","Professional","LA","70810"
"LOREN C & PEGGY B SCOTT","1520","Service/Rental/Etc","LA","70810"
"WILLIE L MASON","1520","Service/Rental/Etc","LA","70812"
"ANN N EDELMAN","1520","Service/Rental/Etc","LA","70806"
"STEVEN E RIPPLE","2090","Professional","LA","70810"
"RANDY BRISTER","2640","Retail Autos & Boats","LA","70819"
"RAYBORN TERRI","1520","Service/Rental/Etc","LA","70874"
"WELLS JAMES L","9999","No Occupational License","LA","70814"
"VALERIE LEWIS","1822","Real Estate Broker","LA","70810"
"PROSYS INC","2090","Professional","LA","70816"
"CHILLS INC","1520","Service/Rental/Etc","LA","70775"
"ORAN & SYDNEY LEJEUNE","1520","Service/Rental/Etc","LA","70816"
"ALLSTAR CABINETS & MILLWORKS  INC","9999","No Occupational License","LA","70739"
"BOMBET CASHIO DARBONNE & ASSOCIATES INC","1520","Service/Rental/Etc","LA","70816"
"E & F SERVICES LLC","2710","Contractor","LA","70811"
"PATRICK STOCKSTILL","1520","Service/Rental/Etc","LA","70809"
"MELVIN A  JENKINS","1520","Service/Rental/Etc","LA","70791"
"MICHAEL L THIBODEAUX","2710","Contractor","LA","70806"
"XDESIGN INC","1520","Service/Rental/Etc","LA","70809"
"ROBERT WHEATLEY","1610","Wholesale Dealer","LA","70820"
"TED MALA","2710","Contractor","LA","70817"
"HADDAD CONTRACTORS LLC","2710","Contractor","LA","70810"
"VK ENTERPRISES INC","1822","Real Estate Broker","LA","70810"
"HARRIS MOTORS INC","2640","Retail Autos & Boats","LA","70819"
"MICHAEL LONG","1520","Service/Rental/Etc","LA","70734"
"JAMES A LLOYD","2710","Contractor","LA","70714"
"BEST CHILD CARE INC","1520","Service/Rental/Etc","LA","70816"
"DONALD J JARREAU","1520","Service/Rental/Etc","LA","70816"
"SUNQUEST PROPERTIES","1520","Service/Rental/Etc","LA","70807"
"FORETHOUGHT CONSULTING  INC","1520","Service/Rental/Etc","LA","70808"
"SHARON B HARVEY","1520","Service/Rental/Etc","LA","70816"
"CASSANO BUILDERS INC","2710","Contractor","LA","70817"
"J RANDALL LEJEUNE","1610","Wholesale Dealer","LA","70810"
"JOB TEMPS INC","1520","Service/Rental/Etc","LA","70816"
"GEMCO SERVICES INC","2710","Contractor","LA","70809"
"M & A PAVEMENT STRIPPING CO","2710","Contractor","LA","70809"
"GREMILLIONS PEST CONTROL","1520","Service/Rental/Etc","LA","70810"
"JAIRO LEON","2090","Professional","LA","70810"
"GLYNN R GUTIERREZ","2710","Contractor","LA","70898"
"STEVE HAYDEN","1520","Service/Rental/Etc","LA","70809"
"DOUGLAS C KIRK","2710","Contractor","LA","70817"
"GLENN W WILSON & DOYLENE WILSON","2710","Contractor","LA","70816"
"JOHN C WILSON","1822","Real Estate Broker","LA","70807"
"BILWOOD SMITH REAL ESTATE INC","1822","Real Estate Broker","LA","70816"
"ALL AMERICAN REALTY CORP","1822","Real Estate Broker","LA","70816"
"E O ARINDER PROF TREE CARE","2710","Contractor","LA","70816"
"PAUL CHARBONNET","1520","Service/Rental/Etc","LA","70817"
"OAK GLEN TERRACE MOBILE HOME","1520","Service/Rental/Etc","LA","70811"
"QUALITY MOVERS","1520","Service/Rental/Etc","LA","70816"
"ATLAS INTERIORS INC","2710","Contractor","LA","70808"
"KENNETH R LEE","1520","Service/Rental/Etc","LA","70815"
"MAGNOLIA WOODS SWIM CLUB","1525","Retail Dealer","LA","70808"
"GERHARD H VOCKNER","2710","Contractor","LA","70816"
"LARRY G MOUNCE","1520","Service/Rental/Etc","LA","70817"
"MANOLO A GARCIA","1610","Wholesale Dealer","LA","70817"
"DAVID DUPUIS","1520","Service/Rental/Etc","LA","70809"
"METALLURGICAL MATERIALS TECH   INC","2090","Professional","LA","70809"
"COSTANZA & CO INC","2710","Contractor","LA","70810"
"J E ALLEN","2710","Contractor","LA","70809"
"MMR CONSTRUCTORS INC","2710","Contractor","LA","70817"
"THE STEPPING STONES INC","1520","Service/Rental/Etc","LA","70816"
"MICRO MOTION INC","1610","Wholesale Dealer","LA","70809"
"LLOYD PICKERING","2710","Contractor","LA","70816"
"DON TERRELL HOMES INC","2710","Contractor","LA","70817"
"DABLEH'S LLC","1610","Wholesale Dealer","LA","70806"
"EXPLOSIVE SERVICES INTERNATIONAL","1520","Service/Rental/Etc","LA","70809"
"SERVICE ENGINEER & MANAGEMENT  CO INC","2090","Professional","LA","70808"
"DMANCO PKG INC","1610","Wholesale Dealer","LA","70817"
"ROGER & KATHY JOHNSON","1520","Service/Rental/Etc","LA","70819"
"GIL BROUSSARD BUILDER INC","2710","Contractor","LA","70809"
"ROBERT BOB BROOKS & ASSOC INC","1822","Real Estate Broker","LA","70816"
"ARLISS MCCLENDON BUILDING CONTRUCTION","2710","Contractor","LA","70809"
"A G EDWARDS & SONS INC","1820","Commissioned Services","LA","70809"
"E J BEHRNES","2710","Contractor","LA","70809"
"N H EARLE","2640","Retail Autos & Boats","LA","70815"
"J K COWAN SR","9999","No Occupational License","LA","70739"
"RED OAK WATER CO INC","7001","Public Utilities - Misc","LA","70815"
"ERNEST R BOURGEOIS","1520","Service/Rental/Etc","LA","70817"
"AMERICAN GENERAL FINANCIAL SERICE OF LA INC","1710","Finance Lending","LA","70816"
"JAMES SNOWDEN","2710","Contractor","LA","70791"
"JAMES E DAVIS","2710","Contractor","LA","70811"
"MARTIN L JOHNSON SERVICE CO  INC","2710","Contractor","LA","70816"
"H DAN DERBES","1520","Service/Rental/Etc","LA","70816"
"APRIL POU","1525","Retail Dealer","LA","70815"
"JOHN HARTMAN","2710","Contractor","LA","70814"
"RALPH VINCENT MACKEY","1822","Real Estate Broker","LA","70816"
"JAMES RAWLINS","2710","Contractor","LA","70816"
"EARL COMENA","2710","Contractor","LA","70791"
"CHARLES G DEGGINS","1520","Service/Rental/Etc","LA","70805"
"ARNOLD DAMPIER","2710","Contractor","LA","70791"
"JOSEPH D WASCOME  JR","2710","Contractor","LA","70817"
"WAYNE DEER","1520","Service/Rental/Etc","LA","70714"
"DAYTON HEATING & AIR  INC","2710","Contractor","LA","70816"
"CLARK W TAYLOR  PRESIDENT","1822","Real Estate Broker","LA","70809"
"RYAN PATRICK PRES","1520","Service/Rental/Etc","LA","70816"
"CLINE HOOPER","2710","Contractor","LA","70816"
"NORMCO CONSTRUCTION COMPANY  INC","2710","Contractor","LA","70810"
"VALENTINE & LEBLANC INC","2710","Contractor","LA","70816"
"JOHN SANCHEZ JR","2710","Contractor","LA","70815"
"HARRY SPRAGUE  JR","2710","Contractor","LA","70817"
"RANDY KEY","2710","Contractor","LA","70814"
"EMICK CLYDE GARY","1520","Service/Rental/Etc","LA","70816"
"GENO G GUERCIO","2710","Contractor","LA","70814"
"STEPHEN  MOORE","2710","Contractor","LA","70809"
"DAVID R WILLIAMS","1520","Service/Rental/Etc","LA","70806"
"THOMAS   VERNELL","2710","Contractor","LA","70810"
"ELLA HARRIS","1520","Service/Rental/Etc","LA","70812"
"R CRAIG SMITH","1520","Service/Rental/Etc","LA","70810"
"TONY  CASCIO","2710","Contractor","LA","70815"
"TURF SCAPE LLC","2710","Contractor","LA","70809"
"KENNETH D WICKER","1520","Service/Rental/Etc","LA","70805"
"THOMAS L FREEMAN","1520","Service/Rental/Etc","LA","70816"
"BUSTER J FRESINA","1520","Service/Rental/Etc","LA","70806"
"NORWEST FINANCIAL LA INC #833","1710","Finance Lending","LA","70809"
"JUDY THEVENOT","1520","Service/Rental/Etc","LA","70810"
